194,scholar of Classics (Guliang commentary on Spring and Autumn Annals),經學家—榖梁學
195,scholar of Classics (Han learning),經學家—漢學
196,scholar of Classics (New Text School),經學家—今文經學
197,scholar of Classics (Spring and Autumn Annals),經學家—春秋
198,scholar of Classics (Zuo commentary on Spring and Autumn Annals),經學家—左傳
199,philologist (shuowen),小學家－說文
200,philologist (wenzi - graphology),小學家－字學
201,philologist (xungu - semantics),小學家－訓詁學
202,philologist (yinyun - phonology),小學家－音韻學
203,scholar of textual research (kaoju learning),考據學家
204,scholar of textual criticism (jiaokan),校堪學家
205,bibliographer,目錄學家
206,expert on book editions,版本學家
207,scholar of statecraft learning,經世學者
208,expert on oracle bones,甲骨文專家
209,scholar of bronze and stone inscriptions,金石學家
210,novelist,小說家
211,philosopher,哲學家
212,scholar of Western learning,精通西學
213,geographer,地理學家
214,scholar of law,法律專家
215,scholar of music,音樂學家
219,diviner,卜筮者（太乙、軌革、六壬、遁甲等）
220,geomancer,堪輿家風水師
221,physiognomist,相面相手者
222,practioner of Daoist magics,習於道術
224,specialist in the calendar,曆算家
225,scientist,科學家
227,agronomist,農學家
228,biologist,生物學家
229,botanist,植物學家
230,water management expert,水利專家
232,writer,作家
233,skilled at writing,工於文
234,writer of ancient-style prose,工於古文
235,ci lyric writer,詞人
236,qu writer,曲作家
237,expert in operas,精於戲劇
238,rhapsody writer,工於作賦
239,rhymed prose (pianwen) writer,工於駢體文
240,versed in composing examination essays,長於制舉之文
241,translator of writings,譯書家
242,language translator,翻譯
243,seal cutter,篆刻家
244,sculptor,雕繪鐫刻家
245,architect (gardern designer),建築家 — 園林設計
246,publisher,出版家
247,educator,教育家
248,statesman,政治家
249,thinker,思想家
250,go (weiqi) chess player,圍棋棋手
251,excelled in archery,精於箭術
252,excelled in horseriding and archery,精於騎射
253,excelled in particular musical instruments,精於某種樂器
254,excelled in swordsmanship,精於劍術
255,expert in boxing,精於拳法
256,military strategist,熟諳兵法韜略
257,navy warfare expert,熟諳水務海戰
258,lay Buddhist,佛教之俗家弟子
259,overseas Chinese,華僑
260,scholar of foreign literature,外文學家
261,expert in poetic rhymes,精通詩(詞曲)之聲韻音律
262,student of medicine,醫學
263,extensive factual knowledge,強記;博學強記
264,fond of learning,好學
265,Summoned to the capital,徵至京師
266,Founded private academy or school,建書院/義塾/家塾  
267,Belongs to exemplary group,並稱/齊名
268,Was exiled,曾被流放
269,Was impeached,曾被彈劾
270,prognostication,圖讖
271,diplomat,外交
272,Known for wine drinking,好飲酒
273,scholars of the Four Books ,四書
274,interested in artistic crafts,工藝
275,"Shu shu (includes astronomy, five phases, prognostication)",數術
276,engineer,機械
277,military arts,武藝
278,specialist in water conservancy,河工
279,physics,物理
280, christianity,神學
281,buddhist studies,禪機
282,specialist in archaelogy,考古
283,specialist in institutions,職官
284,Tatooing,刺藝
